Month,Hour,Minutes,light_level,RS_outdoor,TM_outdoor,temperature
3,8,30,0.0,437,9.7,21.9
3,8,40,0.0,437,9.7,21.9
3,8,50,0.0,531,11.3,22.0
3,9,0,0.0,531,11.3,22.0
3,9,10,0.0,531,11.3,22.1
3,9,20,0.0,606,13.0,22.0
3,9,30,0.0,606,13.0,22.0
3,9,40,0.0,606,13.0,22.0
3,9,50,0.0,667,14.7,22.0
3,10,0,0.0,667,14.7,22.1
3,10,10,0.0,667,14.7,22.1
3,10,20,0.0,715,16.3,22.2
3,10,30,0.0,715,16.3,22.3
3,10,40,0.0,715,16.3,22.3
3,10,50,0.0,750,17.6,22.4
3,11,0,0.0,750,17.6,22.5
3,11,10,0.0,750,17.6,22.5
3,11,20,0.0,765,18.4,22.6
3,11,30,1.0,765,18.4,22.6
3,11,40,1.0,765,18.4,22.7
3,11,50,1.0,761,19.3,22.7
3,12,0,1.0,761,19.3,23.0
3,12,10,1.0,761,19.3,23.1
3,12,20,1.0,746,19.6,23.1
3,12,30,1.0,746,19.6,23.0
3,12,40,1.0,746,19.6,23.2
3,12,50,1.0,718,19.4,23.2
3,13,0,1.0,718,19.4,23.3
3,13,10,0.0,718,19.4,23.3
3,13,20,1.0,678,19.5,23.3
3,13,30,0.0,678,19.5,23.2
3,13,40,1.0,678,19.5,23.3
3,13,50,1.0,617,19.6,23.4
3,14,0,0.0,617,19.6,23.5
3,14,10,0.0,617,19.6,23.6
3,14,20,0.0,543,19.5,23.7
3,14,30,0.0,543,19.5,23.8
3,14,40,0.0,543,19.5,23.9
3,14,50,0.0,465,19.2,23.9
3,15,0,0.0,465,19.2,24.1
3,15,10,0.0,465,19.2,24.1
3,15,20,0.0,374,18.8,24.3
3,15,30,0.0,374,18.8,24.3
3,15,40,0.0,374,18.8,24.4
3,15,50,1.0,276,18.3,24.5
3,16,0,1.0,276,18.3,24.6
3,16,10,1.0,276,18.3,24.6
3,16,20,1.0,176,17.6,24.7
3,16,30,1.0,176,17.6,24.8
3,16,40,0.0,176,17.6,24.8
3,16,50,0.0,83,16.7,24.8
3,17,0,0.0,83,16.7,24.8
3,17,10,0.0,83,16.7,24.9
3,17,20,0.0,12,15.7,24.9
3,17,30,0.0,12,15.7,24.9
3,17,40,0.0,12,15.7,24.8
3,17,50,0.0,0,14.8,24.7
3,18,0,0.0,0,14.8,24.6
3,18,10,0.0,0,14.8,24.5
3,18,20,1.0,0,13.8,24.5
3,18,30,1.0,0,13.8,24.5
3,18,40,1.0,0,13.8,24.5
3,18,50,0.0,0,12.8,24.5
3,19,0,0.0,0,12.8,24.4
3,19,10,0.0,0,12.8,24.3
3,19,20,0.0,0,12.3,24.2
3,19,30,0.0,0,12.3,24.1
3,19,40,0.0,0,12.3,24.0
3,19,50,0.0,0,11.9,23.9
3,20,0,0.0,0,11.9,23.8
3,20,10,0.0,0,11.9,23.7
3,20,20,0.0,0,11.3,23.6
3,20,30,0.0,0,11.3,23.5
3,20,40,0.0,0,11.3,23.4
3,20,50,0.0,0,10.3,23.3
3,21,0,0.0,0,10.3,23.3
3,21,10,0.0,0,10.3,23.2
3,21,20,0.0,0,9.5,23.1
3,21,30,0.0,0,9.5,23.1
3,21,40,0.0,0,9.5,23.0
3,21,50,0.0,0,8.7,23.0
3,22,0,0.0,0,8.7,22.9
3,22,10,0.0,0,8.7,22.9
3,22,20,0.0,0,8.4,22.8
3,22,30,0.0,0,8.4,22.7
3,22,40,0.0,0,8.4,22.7
3,22,50,0.0,0,8.0,22.7
3,23,0,0.0,0,8.0,22.6
3,23,10,0.0,0,8.0,22.6
3,23,20,0.0,0,7.9,22.6
