Fecha,Hora,TM,HRM%,PPT,RS
31-07-2023,18:00 - 18:30,27.0,74,0.0,33
31-07-2023,18:30 - 19:00,26.7,75,0.0,15
31-07-2023,19:00 - 19:30,26.3,78,0.0,1
31-07-2023,19:30 - 20:00,26.0,79,0.0,0
31-07-2023,20:00 - 20:30,25.8,78,0.0,0
31-07-2023,20:30 - 21:00,25.6,79,0.0,0
31-07-2023,21:00 - 21:30,25.3,80,0.0,0
31-07-2023,21:30 - 22:00,24.6,82,0.0,0
31-07-2023,22:00 - 22:30,24.4,83,0.0,0
31-07-2023,22:30 - 23:00,24.2,84,0.0,0
31-07-2023,23:00 - 23:30,24.1,87,0.0,0
31-07-2023,23:30 - 00:00,23.7,88,0.0,0
01-08-2023,00:00 - 00:30,23.3,89,0.0,0
01-08-2023,00:30 - 01:00,23.5,88,0.0,0
01-08-2023,01:00 - 01:30,23.8,86,0.0,0
01-08-2023,01:30 - 02:00,24.0,85,0.0,0
01-08-2023,02:00 - 02:30,23.9,85,0.0,0
01-08-2023,02:30 - 03:00,23.6,87,0.0,0
01-08-2023,03:00 - 03:30,23.4,87,0.0,0
01-08-2023,03:30 - 04:00,23.5,88,0.0,0
01-08-2023,04:00 - 04:30,23.6,88,0.0,0
01-08-2023,04:30 - 05:00,23.2,90,0.0,2
01-08-2023,05:00 - 05:30,23.5,89,0.0,16
01-08-2023,05:30 - 06:00,24.1,86,0.0,29
01-08-2023,06:00 - 06:30,24.6,84,0.0,71
01-08-2023,06:30 - 07:00,25.1,82,0.0,114
01-08-2023,07:00 - 07:30,25.6,78,0.0,254
01-08-2023,07:30 - 08:00,26.9,68,0.0,480
01-08-2023,08:00 - 08:30,27.7,60,0.0,548
01-08-2023,08:30 - 09:00,29.0,52,0.0,645
01-08-2023,09:00 - 09:30,30.1,48,0.0,719
01-08-2023,09:30 - 10:00,30.6,44,0.0,788
01-08-2023,10:00 - 10:30,31.7,36,0.0,821
01-08-2023,10:30 - 11:00,33.1,28,0.0,885
01-08-2023,11:00 - 11:30,34.2,22,0.0,918
01-08-2023,11:30 - 12:00,33.8,35,0.0,920
01-08-2023,12:00 - 12:30,33.0,40,0.0,920
01-08-2023,12:30 - 13:00,32.8,41,0.0,905
01-08-2023,13:00 - 13:30,32.8,41,0.0,869
01-08-2023,13:30 - 14:00,32.9,41,0.0,834
01-08-2023,14:00 - 14:30,33.0,36,0.0,793
01-08-2023,14:30 - 15:00,33.6,37,0.0,719
01-08-2023,15:00 - 15:30,32.6,41,0.0,636
01-08-2023,15:30 - 16:00,31.4,47,0.0,549
